Id	Items	Support	List size	Reference Support	Reference size	Hyp	Hyp_c	Genes
481	GO:0002244	3	50	60	34208	9.48093e-05	0.000100099	TGFB1,KIT,PSEN1
482	GO:0048143	5	50	17	34208	3.31577e-11	2.71894e-10	SMO,EGFR,APP,MAPT,PSEN1
483	GO:0048143,GO:0050808	3	50	3	34208	2.93807e-09	7.689e-09	APP,MAPT,PSEN1
484	GO:1905908	3	50	4	34208	1.17402e-08	2.42696e-08	APOE,APP,PSEN1
485	GO:0016358	3	50	41	34208	3.01174e-05	3.34487e-05	RELN,APP,DAB1
486	GO:1901216	4	50	36	34208	2.29756e-07	3.18423e-07	FYN,FOS,ABL1,MAPT
487	GO:0007494	3	50	10	34208	3.50033e-07	4.62947e-07	SMO,EGFR,DAB1
488	GO:0071560	3	50	55	34208	7.3061e-05	7.74698e-05	FYN,WNT2,TGFB1
489	GO:0071375	3	50	18	34208	2.36068e-06	2.77197e-06	WNT1,FYN,SRC
490	GO:0043586	3	50	11	34208	4.808e-07	6.2251e-07	GLI3,EGFR,KIT
491	GO:0038026	3	50	6	34208	5.858e-08	9.26731e-08	LRP8,VLDLR,RELN
